,Номенклатура,КлассТовара
235,ca9eb3d0-56b5-11dd-914b-00151716f9f5,Средне продаваемый
236,81dce3bd-de7f-11e0-9866-001517c526f0,Средне продаваемый
237,815057f8-0cdc-11dd-8863-00151716f9f5,Средне продаваемый
238,077e0658-70c0-11dc-a590-00151716f9f5,Средне продаваемый
239,6acdb206-9932-11df-8b11-001517c526f0,Средне продаваемый
240,939226cc-bba2-11da-ab47-0002b3552d75,Средне продаваемый
241,dfcdb00b-87f6-11e0-a3c6-00155d030b07,Средне продаваемый
242,08a7fb06-23e8-11de-af27-00151716f9f5,Средне продаваемый
243,ff7834e4-9602-11df-9cdb-001517c526f0,Средне продаваемый
244,86edb96b-797d-11e1-84e2-001517c526f0,Средне продаваемый
245,f9ee6300-72bb-11df-869d-001517c526f1,Средне продаваемый
246,d647ae95-4e31-11dd-a76c-00151716f9f5,Средне продаваемый
247,237fbec4-4863-11df-bc79-001517c526f1,Средне продаваемый
248,8645dff4-1f2d-11de-8cdc-00151716f9f5,Средне продаваемый
249,0ec23527-b4c2-11df-b2e0-001517c526f0,Средне продаваемый
250,dfcdafff-87f6-11e0-a3c6-00155d030b07,Средне продаваемый
251,6a7fe006-1973-11e1-93eb-001517c526f0,Средне продаваемый
252,77cdc27c-75ed-11db-924b-001731bb01c7,Средне продаваемый
253,cbf9a5e5-d38e-11e0-9f24-001517c526f0,Средне продаваемый
254,98388900-2e9d-11e0-bc55-001517c526f0,Средне продаваемый
255,5f794d34-8a4e-11df-856b-001517c526f0,Средне продаваемый
256,739a6e6a-6f9b-11df-8a2e-001517c526f1,Средне продаваемый
257,d53109b5-d1c3-11e0-bc27-001517c526f0,Средне продаваемый
258,a18b5424-11fa-11db-a026-0002b3552d75,Средне продаваемый
259,46d03f7e-bba3-11da-ab47-0002b3552d75,Средне продаваемый
260,149f6a64-e545-11df-9bf5-001517c526f0,Средне продаваемый
261,9f05c7b9-6b57-11de-af5d-00151716f9f5,Средне продаваемый
262,077e0650-70c0-11dc-a590-00151716f9f5,Средне продаваемый
263,58c57cd5-0713-11df-9cf0-00151716f9f5,Средне продаваемый
264,3da2c729-d0c7-11dd-9625-00151716f9f5,Средне продаваемый
265,2c9b98af-cd18-11e0-9b01-001517c526f0,Средне продаваемый
266,250deca3-cd8b-11de-b72b-00151716f9f5,Средне продаваемый
267,d53109c6-d1c3-11e0-bc27-001517c526f0,Средне продаваемый
268,dd3f8090-bba2-11da-ab47-0002b3552d75,Средне продаваемый
269,9f8ae82c-fe98-11db-b784-001731bb01c7,Средне продаваемый
270,d75996e8-a438-11db-a40b-00001a1933df,Средне продаваемый
271,e6a2b053-0950-11df-a185-00151716f9f5,Средне продаваемый
272,939226cb-bba2-11da-ab47-0002b3552d75,Средне продаваемый
273,b2f27c6f-e2c0-11dd-af6f-00151716f9f5,Средне продаваемый
274,876c0aa1-2358-11df-964e-001517c526f1,Средне продаваемый
275,c4771780-baea-11df-a86c-001517c526f0,Средне продаваемый
276,c32965ac-bba2-11da-ab47-0002b3552d75,Средне продаваемый
277,cce94bc8-bf7a-11dd-a804-00151716f9f5,Средне продаваемый
278,0170b3c8-ff46-11de-9cf0-00151716f9f5,Средне продаваемый
279,9a59dbe8-bba2-11da-ab47-0002b3552d75,Средне продаваемый
280,58c57ccd-0713-11df-9cf0-00151716f9f5,Средне продаваемый
281,28d2edca-9e95-11df-b6d2-001517c526f0,Средне продаваемый
282,0e2397d3-2755-11e0-8191-001517c526f0,Средне продаваемый
283,e27d55ad-63b0-11df-befb-001517c526f1,Средне продаваемый
284,a11a6ac5-bba2-11da-ab47-0002b3552d75,Средне продаваемый
285,d6c41c47-bba2-11da-ab47-0002b3552d75,Средне продаваемый
286,67b60d02-4c54-11db-936f-00001a1933df,Средне продаваемый
287,7c4ce7fe-600b-11db-a5f0-00001a1933df,Средне продаваемый
288,9f05c7b3-6b57-11de-af5d-00151716f9f5,Средне продаваемый
289,5ecfc7af-e0bf-11db-817b-001731bb01c7,Средне продаваемый
290,86edb9ac-797d-11e1-84e2-001517c526f0,Средне продаваемый
291,ae79605a-ceb3-11e0-872a-001517c526f0,Средне продаваемый
292,1df585fa-53ab-11dd-8a13-00151716f9f5,Средне продаваемый
293,9f05c7b5-6b57-11de-af5d-00151716f9f5,Средне продаваемый
294,32b24b5d-3ba8-11db-b33d-0002b3552d75,Средне продаваемый
295,b5b90460-bba2-11da-ab47-0002b3552d75,Средне продаваемый
296,8e6cdeea-797d-11e1-84e2-001517c526f0,Средне продаваемый
297,8bc9dc6c-59b1-11e0-b259-001517c526f0,Средне продаваемый
298,7a445d66-5fee-11db-a5f0-00001a1933df,Средне продаваемый
299,9f05c7b4-6b57-11de-af5d-00151716f9f5,Средне продаваемый
300,7e5d9c26-7689-11de-b404-00151716f9f5,Средне продаваемый
